Source,Target,Weight,edges_1,edges_2,edges_3,edges_4,edges_5,edges_6,edges_7
0,1,1809,50,202,92,273,305,289,598
2,3,14,14,0,0,0,0,0,0
2,0,460,124,52,47,58,117,5,57
3,4,46,37,0,0,6,0,0,3
0,4,975,192,126,132,208,185,60,72
5,6,1,1,0,0,0,0,0,0
5,0,29,25,0,0,0,0,0,4
7,4,354,86,57,40,38,88,27,18
2,4,324,142,15,24,52,52,12,27
8,4,11,11,0,0,0,0,0,0
9,1,169,7,23,25,16,29,35,34
4,1,21,5,3,0,7,5,0,1
10,4,72,7,0,0,6,12,44,3
10,12,185,22,34,15,28,38,48,0
10,1,640,20,40,12,66,107,286,109
12,1,24,11,3,0,0,4,0,6
10,13,43,8,9,2,10,7,7,0
13,12,30,1,21,6,0,2,0,0
10,14,40,3,5,0,0,1,0,31
15,1,27,8,0,7,0,0,5,7
16,1,3,3,0,0,0,0,0,0
10,15,26,5,0,0,0,0,0,21
0,12,643,78,116,84,60,167,73,65
10,0,3262,157,166,177,599,622,987,554
10,3,344,59,68,32,97,37,47,4
3,12,41,13,0,7,5,6,9,1
9,3,242,46,7,31,33,50,62,13
9,0,1994,159,133,202,300,506,313,381
3,11,120,22,9,28,20,24,8,9
10,11,383,6,8,63,66,139,88,13
10,7,52,7,0,0,2,11,27,5
3,0,2116,405,176,303,374,365,268,225
17,12,5,5,0,0,0,0,0,0
3,17,6,6,0,0,0,0,0,0
10,18,69,3,0,0,9,20,31,6
3,18,100,24,0,7,22,34,6,7
8,12,23,4,5,0,0,11,0,3
8,0,352,19,33,58,56,94,37,55
0,7,466,75,70,65,90,94,23,49
9,2,68,20,8,0,0,28,0,12
2,11,8,3,0,0,1,4,0,0
9,7,41,11,1,1,3,11,0,14
2,7,163,49,13,8,32,30,7,24
2,19,26,7,0,19,0,0,0,0
0,19,68,2,0,66,0,0,0,0
2,20,21,15,0,0,0,6,0,0
20,0,54,19,0,0,4,31,0,0
20,7,8,3,0,0,0,5,0,0
9,4,80,23,8,5,7,22,9,6
2,21,3,3,0,0,0,0,0,0
22,4,5,5,0,0,0,0,0,0
22,0,232,8,0,0,42,23,29,130
19,4,59,9,0,50,0,0,0,0
23,4,15,12,0,0,0,3,0,0
9,11,243,17,2,81,32,93,14,4
8,2,6,1,0,0,0,5,0,0
2,24,8,8,0,0,0,0,0,0
0,24,409,105,25,38,90,75,56,20
23,24,33,14,0,7,8,4,0,0
4,24,37,35,0,0,2,0,0,0
8,7,6,3,1,0,0,2,0,0
8,24,11,9,2,0,0,0,0,0
11,4,69,4,0,19,19,18,9,0
0,11,2247,79,88,479,403,870,157,171
3,24,618,119,32,112,87,166,84,18
7,24,10,10,0,0,0,0,0,0
23,3,60,11,10,12,13,7,5,2
23,0,217,5,14,47,22,77,29,23
23,9,62,9,1,6,7,23,6,10
25,24,4,4,0,0,0,0,0,0
3,25,2,2,0,0,0,0,0,0
10,25,11,3,0,0,0,0,8,0
0,26,36,2,0,9,8,13,2,2
3,7,18,13,0,0,4,0,0,1
8,3,45,10,3,12,6,8,4,2
3,15,4,4,0,0,0,0,0,0
3,16,8,8,0,0,0,0,0,0
0,15,50,3,0,15,0,6,3,23
10,24,75,15,5,0,7,7,41,0
9,10,375,20,10,7,36,102,133,67
9,24,107,15,5,11,38,30,8,0
23,10,46,2,4,4,3,20,10,3
23,1,36,3,0,2,8,14,8,1
27,24,1,1,0,0,0,0,0,0
23,27,2,2,0,0,0,0,0,0
28,24,9,9,0,0,0,0,0,0
28,0,81,42,7,6,3,0,4,19
29,24,4,4,0,0,0,0,0,0
30,0,83,3,7,15,27,28,3,0
3,1,64,9,5,5,4,5,11,25
32,0,24,2,0,0,0,0,0,22
0,33,124,118,0,0,0,5,1,0
3,33,7,7,0,0,0,0,0,0
0,18,675,8,16,45,150,228,110,118
28,18,3,2,0,0,0,0,0,1
34,3,5,5,0,0,0,0,0,0
34,0,138,8,0,0,0,0,0,130
28,34,25,2,0,0,0,0,0,23
9,28,7,2,0,0,0,2,0,3
2,35,2,2,0,0,0,0,0,0
35,11,1,1,0,0,0,0,0,0
0,36,331,65,91,41,16,42,44,32
0,37,96,14,14,8,19,23,8,10
37,36,42,23,6,9,0,3,1,0
3,36,24,10,3,0,7,0,0,4
37,1,11,6,0,0,0,0,5,0
3,37,7,7,0,0,0,0,0,0
11,24,34,4,0,15,0,5,2,8
3,38,18,18,0,0,0,0,0,0
0,38,115,21,0,0,28,0,0,66
9,38,12,6,0,0,0,0,0,6
38,1,27,5,0,0,2,0,1,19
9,33,6,6,0,0,0,0,0,0
0,39,252,10,17,44,64,85,14,18
39,7,10,8,0,0,0,2,0,0
39,4,17,5,5,7,0,0,0,0
40,41,66,1,41,12,2,0,8,2
40,0,640,2,104,7,15,200,217,95
42,43,379,9,21,38,104,169,11,27
0,44,6697,489,785,799,1002,1367,1041,1214
0,45,693,100,48,76,77,246,68,78
46,45,1,1,0,0,0,0,0,0
0,46,29,4,0,0,16,8,0,1
42,0,709,27,87,68,162,234,56,75
41,44,155,1,47,43,27,25,2,10
44,11,503,26,19,195,91,135,11,26
9,44,812,70,79,98,148,132,134,151
42,40,74,1,11,0,2,38,13,9
9,40,93,1,8,0,3,31,21,29
9,43,82,2,7,3,20,43,5,2
0,27,114,5,5,4,21,14,44,21
42,44,413,9,36,41,93,146,59,29
