Id,Label,All_uses,Uses_1,Uses_2,Uses_3,Uses_4,Uses_5,Uses_6,Uses_7
0,harry,17274,1264,1545,1924,2982,3982,2616,2961
1,voldemort,1850,52,166,78,278,294,435,547
2,dudley,395,129,32,24,54,108,7,41
3,hagrid,1877,333,150,243,347,434,219,151
4,vernon,732,207,75,99,116,142,42,51
5,flamel,26,24,0,0,0,0,0,2
6,norbert,23,19,0,1,0,2,0,1
7,petunia,478,103,62,54,74,98,26,61
8,corner,287,24,24,31,44,70,51,43
9,don,1896,165,141,185,301,453,333,318
10,dumbledore,3130,142,148,144,544,599,967,586
11,sirius,1967,58,61,477,315,756,146,154
12,mcgonagall,658,87,88,98,83,167,76,59
13,madam_pomfrey,117,9,25,32,22,10,18,1
14,godric,61,1,1,0,1,1,2,55
15,lily,96,5,0,14,0,9,4,64
16,james_potter,15,3,0,2,1,0,1,8
17,james,131,1,0,21,0,62,5,42
18,yeah,557,15,12,36,114,201,94,85
19,marge,65,4,0,59,0,2,0,0
20,figg,48,7,0,0,2,39,0,0
21,oliver,231,53,39,82,23,14,7,13
22,bill,254,7,5,4,59,29,46,104
23,dad,247,14,21,38,40,73,32,29
24,yeh,408,106,17,55,67,102,46,15
25,vernon_dursley,15,1,1,0,0,0,3,10
26,merlin,28,1,2,4,2,9,5,5
27,mark,127,5,4,4,44,12,33,25
28,gringotts,77,22,6,6,3,4,3,33
29,prophet,159,3,5,14,32,55,25,25
30,cornelius,60,1,4,5,18,27,5,0
31,bathilda,59,1,0,0,0,0,0,58
32,dedalus,14,1,0,0,0,1,0,12
33,quirrell,109,100,0,0,0,5,3,1
34,griphook,127,10,0,0,0,0,0,117
35,malkin,13,2,0,0,0,0,11,0
36,slytherin,323,43,93,51,24,48,40,24
37,hufflepuff,94,15,6,11,22,20,14,6
38,ollivander,105,19,0,0,20,0,4,62
39,hedwig,196,12,17,35,45,64,7,16
40,ginny,628,4,96,13,37,182,196,100
41,percy,357,35,62,64,96,55,18,27
42,fred,724,28,78,66,141,273,69,69
43,george,584,16,66,47,122,228,49,56
44,ron,5744,381,646,726,926,1191,805,1069
45,neville,680,102,29,93,76,246,65,69
46,lee,43,4,1,6,9,15,0,8
47,george_weasley,34,7,8,10,3,4,0,2
48,charlie,86,17,4,0,52,3,3,7
49,pettigrew,401,13,3,214,116,20,7,28
50,grindelwald,56,2,0,0,0,0,0,54
51,hermione,4976,255,314,624,802,1223,645,1113
52,ravenclaw,118,9,7,27,18,24,10,23
53,crabbe,205,19,33,32,30,32,30,29
54,goyle,204,21,37,34,30,35,27,20
55,malfoy,1250,108,197,164,128,170,372,111
56,weasley,1276,19,119,79,322,412,178,147
57,nick,86,4,32,0,13,26,4,7
58,seamus,155,17,13,16,21,56,22,10
59,slytherins,108,12,15,14,20,29,11,7
60,snape,1817,153,98,240,231,357,437,301
61,norris,50,12,21,2,6,7,1,1
62,sprout,87,3,24,2,13,16,18,11
63,binns,45,3,17,1,7,16,0,1
64,flitwick,119,20,10,21,14,25,13,16
65,fang,108,14,33,6,18,16,12,9
66,dean_thomas,34,2,5,9,5,6,5,2
67,dean,129,7,6,4,14,31,38,29
68,madam_hooch,38,8,8,15,0,7,0,0
69,pansy,32,1,0,4,7,8,11,1
70,lee_jordan,41,5,4,5,9,12,1,5
71,parvati,17,2,1,2,3,6,3,0
72,johnson,9,2,0,1,0,6,0,0
73,ronan,19,17,0,0,0,2,0,0
74,bane,26,14,0,0,0,11,0,1
75,firenze,67,18,0,0,0,41,5,3
76,pomfrey,29,1,3,6,3,4,12,0
77,dobby,414,0,135,0,155,55,32,37
78,lockhart,250,0,228,0,3,19,0,0
79,aragog,42,0,21,0,0,1,17,3
80,mason,9,0,9,0,0,0,0,0
81,lucius,121,0,27,5,8,25,16,40
82,errol,22,0,9,10,3,0,0,0
83,arthur,98,0,10,6,22,34,15,11
84,fletcher,119,0,1,0,1,51,20,46
85,molly,65,0,6,5,6,30,10,8
86,arthur_weasley,27,0,6,0,6,9,2,4
87,borgin,72,0,17,0,0,0,50,5
88,fred_george,34,0,5,1,10,15,2,1
89,justin,38,0,35,0,0,3,0,0
90,creevey,27,0,11,1,7,5,1,2
91,colin,46,0,33,1,10,1,0,1
