Id,Label,All_uses,Uses_1,Uses_2,Uses_3,Uses_4,Uses_5,Uses_6,Uses_7
92,frank,67,0,1,0,62,3,1,0
93,ogden,63,0,1,0,0,0,62,0
94,katie_bell,20,0,1,3,1,6,9,0
95,katie,69,0,1,11,0,19,38,0
96,mudblood,38,0,6,0,4,3,5,20
97,alicia,30,0,1,8,1,20,0,0
98,patrick,7,0,7,0,0,0,0,0
99,myrtle,100,0,60,0,25,0,15,0
100,salazar,13,0,10,0,0,0,2,1
101,millicent,13,0,9,0,0,4,0,0
102,ernie,59,0,20,4,2,23,9,1
103,macmillan,23,0,3,0,4,9,7,0
104,fawkes,59,0,28,0,7,14,8,2
105,moody,485,0,1,0,352,98,6,28
106,dippet,15,0,8,0,1,0,5,1
107,marvolo,24,0,2,0,0,0,18,4
108,bartemius,307,0,1,0,300,5,1,0
109,boggart,41,0,0,30,1,10,0,0
110,patronus,83,0,0,25,1,20,5,32
111,trelawney,224,0,0,84,33,72,34,1
112,bathilda_bagshot,10,0,0,1,0,0,0,9
113,hogsmeade,128,0,0,57,18,21,21,11
114,stan,57,0,0,46,0,5,3,3
115,ern,21,0,0,20,0,1,0,0
116,crookshanks,141,0,0,88,16,28,6,3
117,lupin,723,0,0,374,7,146,54,142
118,cadogan,22,0,0,16,2,4,0,0
119,parvati_patil,93,0,0,14,31,36,11,1
120,lavander,18,0,0,4,4,3,6,1
121,buckbeak,108,0,0,81,10,7,9,1
122,pansy_parkinson,21,0,0,1,7,9,3,1
123,riddikulus,11,0,0,8,1,2,0,0
124,zonko,17,0,0,11,1,3,2,0
125,cedric,341,0,0,10,287,39,2,3
126,madam_rosmerta,18,0,0,11,2,0,5,0
127,rosmerta,24,0,0,9,3,0,12,0
128,cho_chang,191,0,0,13,31,136,4,7
129,montague,30,0,0,2,0,25,3,0
130,bole,8,0,0,6,0,2,0,0
131,macnair,18,0,0,13,2,3,0,0
132,remus,32,0,0,9,0,5,5,13
133,rita_skeeter,142,0,0,0,86,32,1,23
134,bagman,160,0,0,0,158,2,0,0
135,horntail,32,0,0,0,31,0,1,0
136,skeeter,37,0,0,0,16,0,0,21
137,pensieve,72,0,0,0,17,23,26,6
138,bruce,6,0,0,0,6,0,0,0
139,nagini,25,0,0,0,7,0,2,16
140,bertha_jorkins,19,0,0,0,19,0,0,0
141,bertha,17,0,0,0,17,0,0,0
142,pigwidgeon,47,0,0,0,27,14,3,3
143,ludo,15,0,0,0,15,0,0,0
144,krum,215,0,0,0,173,1,5,36
145,amos_diggory,21,0,0,0,21,0,0,0
146,roberts,23,0,0,0,23,0,0,0
147,ludo_bagman,44,0,0,0,44,0,0,0
148,winky,132,0,0,0,128,4,0,0
149,mungo,58,0,0,0,4,38,10,6
150,mostafa,10,0,0,0,10,0,0,0
151,lynch,10,0,0,0,10,0,0,0
152,madame_maxime,71,0,0,0,67,3,1,0
153,maxime,21,0,0,0,20,1,0,0
154,karkaroff,137,0,0,0,135,0,1,1
155,viktor,15,0,0,0,11,1,0,3
156,fleur,219,0,0,0,89,1,43,86
157,gregorovitch,38,0,0,0,1,0,0,37
158,padma,13,0,0,0,13,0,0,0
159,roger_davies,15,0,0,0,5,9,0,1
160,aberforth,61,0,0,0,2,1,0,58
161,gabrielle,10,0,0,0,3,0,1,6
162,dolohov,25,0,0,0,1,10,0,14
163,umbridge,595,0,0,0,0,542,11,42
164,luna,273,0,0,0,0,110,43,120
165,lovegood,33,0,0,0,0,4,0,29
166,occlumency,44,0,0,0,0,34,6,4
167,grawp,63,0,0,0,0,43,9,11
168,tonks,200,0,0,0,0,91,54,55
169,kingsley,67,0,0,0,0,27,1,39
170,elphias,11,0,0,0,0,1,0,10
171,sturgis,12,0,0,0,0,12,0,0
172,kingsley_shacklebolt,12,0,0,0,0,9,1,2
173,kreacher,278,0,0,0,0,102,51,125
174,phineas,76,0,0,0,0,34,8,34
175,bellatrix,173,0,0,0,0,42,41,90
176,scrimgeour,130,0,0,0,0,1,66,63
177,madam_bones,9,0,0,0,0,9,0,0
178,luna_lovegood,20,0,0,0,0,16,4,0
179,stinksap,8,0,0,0,0,8,0,0
180,zacharias_smith,23,0,0,0,0,15,7,1
181,zacharias,10,0,0,0,0,7,3,0
182,smith,13,0,0,0,0,6,6,1
183,marietta,35,0,0,0,0,33,2,0
184,karkus,11,0,0,0,0,11,0,0
185,golgomath,8,0,0,0,0,8,0,0
186,magorian,16,0,0,0,0,15,0,1
187,marchbanks,13,0,0,0,0,13,0,0
188,tofty,12,0,0,0,0,12,0,0
189,bella,14,0,0,0,0,2,9,3
190,narcissa,52,0,0,0,0,2,36,14
191,rufus_scrimgeour,12,0,0,0,0,0,11,1
192,inferi,18,0,0,0,0,0,17,1
193,horace,15,0,0,0,0,0,14,1
194,slughorn,381,0,0,0,0,0,372,9
195,greyback,81,0,0,0,0,0,21,60
196,zabini,38,0,0,0,0,0,38,0
197,cormac,65,0,0,0,0,0,65,0
198,felix_felicis,23,0,0,0,0,0,23,0
199,morfin,57,0,0,0,0,0,57,0
200,romilda_vane,11,0,0,0,0,0,11,0
201,leanne,17,0,0,0,0,0,17,0
202,cole,21,0,0,0,0,0,21,0
203,coote,9,0,0,0,0,0,9,0
204,auntie_muriel,15,0,0,0,0,0,1,14
205,harper,11,0,0,0,0,0,11,0
206,celestina,7,0,0,0,0,0,7,0
207,hepzibah,24,0,0,0,0,0,23,1
208,burke,10,0,0,0,0,0,9,1
209,amycus,18,0,0,0,0,0,6,12
210,muriel,34,0,0,0,0,0,1,33
211,xenophilius,78,0,0,0,0,0,0,78
212,yaxley,44,0,0,0,0,0,0,44
213,kendra,17,0,0,0,0,0,0,17
214,ariana,38,0,0,0,0,0,0,38
215,doge,37,0,0,0,0,0,0,37
216,ted,23,0,0,0,0,0,0,23
217,madame_delacour,7,0,0,0,0,0,0,7
218,monsieur_delacour,8,0,0,0,0,0,0,8
219,deluminator,22,0,0,0,0,0,0,22
220,beedle,17,0,0,0,0,0,0,17
221,mafalda,8,0,0,0,0,0,0,8
222,cattermole,33,0,0,0,0,0,0,33
223,dirk,12,0,0,0,0,0,0,12
224,scabior,15,0,0,0,0,0,0,15
225,bogrod,14,0,0,0,0,0,0,14
