Source,Target,Weight,edges_1,edges_2,edges_3,edges_4,edges_5,edges_6,edges_7
38,3,8,8,0,0,0,0,0,0
38,9,2,2,0,0,0,0,0,0
9,38,10,4,0,0,0,0,0,6
0,38,50,7,0,0,13,0,0,30
1,38,18,5,0,0,2,0,1,10
33,9,6,6,0,0,0,0,0,0
9,24,24,6,1,0,11,6,0,0
3,2,8,8,0,0,0,0,0,0
0,39,128,4,10,27,38,36,6,7
39,7,10,8,0,0,0,2,0,0
39,4,8,5,2,1,0,0,0,0
39,0,124,6,7,17,26,49,8,11
40,41,23,1,15,5,0,0,0,2
40,0,285,2,49,2,1,84,109,38
42,43,247,7,13,29,73,100,7,18
0,44,3499,239,445,413,553,752,538,559
44,0,3198,250,340,386,449,615,503,655
0,45,382,55,15,30,51,151,36,44
45,46,1,1,0,0,0,0,0,0
46,0,16,4,0,0,8,4,0,0
0,42,318,8,35,28,66,107,36,38
0,8,165,8,16,20,34,44,16,27
44,41,88,1,32,25,12,8,0,10
44,11,238,7,10,84,49,75,1,12
9,44,372,29,46,52,73,57,50,65
0,11,1126,28,54,214,234,432,79,85
40,42,35,1,3,0,0,28,3,0
9,40,39,1,7,0,3,13,11,4
9,43,58,2,2,0,10,37,5,2
0,27,61,5,5,3,8,9,23,8
11,44,265,19,9,111,42,60,10,14
44,42,200,4,10,14,48,64,41,19
44,47,3,3,0,0,0,0,0,0
42,0,391,19,52,40,96,127,20,37
0,43,325,15,41,37,63,111,35,23
42,44,213,5,26,27,45,82,18,10
44,22,53,1,0,4,10,6,14,18
22,48,13,4,1,0,7,1,0,0
22,41,32,5,6,0,21,0,0,0
22,42,34,4,9,1,13,3,0,4
22,43,20,5,0,2,5,5,0,3
22,44,49,4,0,0,8,0,20,17
22,49,4,4,0,0,0,0,0,0
49,23,2,2,0,0,0,0,0,0
44,2,11,1,5,0,0,5,0,0
44,3,305,63,30,52,57,40,36,27
44,1,142,14,10,2,11,36,11,58
44,4,38,2,14,12,2,8,0,0
44,7,25,3,18,0,1,3,0,0
44,9,440,41,33,46,75,75,84,86
10,44,254,14,14,21,52,54,35,64
0,50,13,3,0,0,0,0,0,10
10,5,3,2,0,0,0,0,0,1
50,10,15,2,0,0,0,0,0,13
50,0,31,3,0,0,0,0,0,28
5,10,6,3,0,0,0,0,0,3
44,10,208,20,22,6,29,41,43,47
43,44,88,1,10,0,15,37,7,18
43,8,7,2,0,1,0,0,0,4
43,0,185,3,34,7,53,45,9,34
9,49,35,2,0,30,0,0,0,3
49,44,75,7,0,59,1,2,0,6
44,49,136,11,1,112,1,0,0,11
51,0,2281,107,148,275,368,575,340,468
51,44,1493,73,86,172,265,335,213,349
44,51,1643,62,157,233,220,289,287,395
0,51,3058,200,173,397,538,654,420,676
10,52,9,2,2,0,4,1,0,0
10,45,13,3,0,0,0,5,3,2
23,52,3,3,0,0,0,0,0,0
9,18,71,5,5,0,9,24,20,8
1,49,45,3,0,14,28,0,0,0
1,44,154,18,9,4,13,33,11,66
49,0,200,9,1,94,61,15,0,20
44,48,22,10,0,0,12,0,0,0
48,29,5,5,0,0,0,0,0,0
48,9,16,6,0,0,7,0,3,0
0,23,94,3,7,30,2,36,6,10
23,28,1,1,0,0,0,0,0,0
28,1,4,2,0,0,0,0,0,2
1,9,86,2,13,10,14,11,24,12
45,0,311,45,33,46,26,95,32,34
0,53,140,16,26,15,15,34,15,19
53,54,49,6,18,4,1,1,14,5
53,0,115,5,17,16,9,19,22,27
53,55,83,7,14,16,3,10,13,20
0,55,685,50,106,111,44,94,222,58
55,0,726,87,135,110,42,132,146,74
3,44,305,42,39,76,54,48,25,21
3,55,78,16,11,22,5,22,2,0
44,53,79,9,14,13,26,7,4,6
55,54,109,13,5,23,16,18,17,17
55,44,249,38,58,51,26,8,38,30
55,9,123,11,25,19,14,13,38,3
54,49,1,1,0,0,0,0,0,0
49,54,4,4,0,0,0,0,0,0
49,55,13,7,0,6,0,0,0,0
51,49,53,2,0,41,0,0,0,10
55,1,49,3,3,0,0,10,12,21
44,23,71,3,8,11,8,21,9,11
44,55,248,37,53,49,49,11,45,4
3,45,28,15,0,9,0,4,0,0
45,3,7,2,2,0,0,3,0,0
11,12,45,2,10,24,2,2,4,1
12,4,5,3,0,0,0,0,0,2
12,7,8,4,0,0,0,1,0,3
4,28,2,2,0,0,0,0,0,0
28,12,1,1,0,0,0,0,0,0
45,44,133,42,6,29,14,30,3,9
44,12,99,4,17,28,12,21,7,10
12,44,112,8,30,20,22,14,17,1
12,42,11,3,0,0,4,4,0,0
4,12,8,4,0,4,0,0,0,0
37,12,3,1,0,0,0,0,1,1
37,52,10,4,0,4,0,0,2,0
52,36,20,4,0,3,10,1,0,2
36,9,17,3,9,0,0,2,3,0
52,0,77,6,0,24,13,5,8,21
52,44,18,2,0,8,5,3,0,0
12,45,11,1,3,2,2,1,2,0
36,41,10,1,9,0,0,0,0,0
36,56,17,2,1,0,0,14,0,0
56,0,722,21,64,48,145,262,111,71
10,33,13,11,0,0,0,0,1,1
11,52,3,3,0,0,0,0,0,0
0,41,173,16,27,26,49,36,10,9
41,0,172,15,28,47,36,29,9,8
9,57,7,2,0,0,3,2,0,0
44,58,22,4,0,0,5,9,2,2
59,36,18,4,2,7,0,3,0,2
59,0,85,4,10,18,16,21,11,5
36,55,79,5,16,16,13,17,12,0
55,58,9,4,0,0,0,5,0,0
58,57,1,1,0,0,0,0,0,0
33,41,3,3,0,0,0,0,0,0
0,60,1047,100,85,153,141,217,251,100
60,0,1086,86,61,147,201,264,206,121
33,10,6,6,0,0,0,0,0,0
10,56,61,1,11,0,3,25,10,11
56,10,82,1,7,4,15,36,11,8
45,41,1,1,0,0,0,0,0,0
33,36,3,3,0,0,0,0,0,0
36,60,25,10,0,2,3,0,2,8
33,61,1,1,0,0,0,0,0,0
56,61,1,1,0,0,0,0,0,0
61,0,32,7,12,0,1,9,3,0
63,64,1,1,0,0,0,0,0,0
51,12,34,1,6,13,7,4,3,0
51,33,4,2,0,0,0,2,0,0
60,58,4,1,1,2,0,0,0,0
60,33,23,21,0,0,0,0,2,0
58,33,2,2,0,0,0,0,0,0
33,56,2,2,0,0,0,0,0,0
56,33,2,2,0,0,0,0,0,0
0,59,65,11,6,12,13,6,8,9
44,39,50,3,10,17,11,7,0,2
60,64,8,3,1,0,0,0,4,0
60,53,13,9,0,0,0,0,4,0
60,54,13,11,0,0,0,0,2,0
53,3,11,5,0,3,3,0,0,0
0,54,180,19,32,27,19,34,20,29
4,60,10,5,4,0,0,1,0,0
4,51,33,14,3,6,0,10,0,0
60,9,136,26,1,26,22,21,33,7
51,58,19,6,1,7,4,0,0,1
9,58,15,10,0,5,0,0,0,0
9,60,113,12,5,16,19,15,29,17
60,11,223,1,2,56,43,70,23,28
11,55,33,3,1,11,4,12,1,1
55,45,40,21,0,0,0,13,6,0
45,60,30,4,3,7,3,8,5,0
60,45,54,7,9,20,5,5,2,6
45,58,11,5,3,1,1,1,0,0
60,42,19,1,4,0,0,14,0,0
60,43,16,2,0,5,0,5,0,4
60,3,56,3,1,0,9,11,28,4
42,3,11,3,0,0,0,3,0,5
11,8,5,1,2,0,2,0,0,0
