Source,Target,Weight,edges_1,edges_2,edges_3,edges_4,edges_5,edges_6,edges_7
3,0,406,82,29,63,62,72,40,58
5,6,1,1,0,0,0,0,0,0
7,4,251,59,36,35,36,51,18,16
2,4,71,32,10,5,2,18,2,2
0,4,189,30,23,26,39,36,14,21
8,4,4,4,0,0,0,0,0,0
10,12,35,8,7,3,4,8,4,1
10,1,109,7,6,2,18,20,36,20
14,1,4,1,0,0,0,0,0,3
16,15,3,2,0,0,0,0,0,1
10,15,6,4,0,0,0,0,0,2
16,12,2,2,0,0,0,0,0,0
0,1,331,10,54,16,66,41,42,102
9,12,10,1,1,3,2,2,1,0
10,3,59,12,11,4,14,8,10,0
10,0,633,23,34,33,119,89,229,106
0,17,15,1,0,1,0,8,1,4
3,12,17,6,0,2,6,0,1,2
3,18,20,5,0,0,2,8,5,0
2,0,78,25,5,8,9,22,0,9
2,7,45,13,3,2,7,11,2,7
0,7,71,15,9,6,18,12,4,7
20,0,11,4,0,0,0,7,0,0
9,4,13,6,3,0,2,1,0,1
9,2,10,3,0,0,0,3,0,4
2,21,1,1,0,0,0,0,0,0
9,7,7,1,0,0,0,3,0,3
19,4,16,2,0,14,0,0,0,0
22,0,47,1,0,1,15,4,6,20
22,4,2,2,0,0,0,0,0,0
19,7,8,1,0,7,0,0,0,0
23,7,1,1,0,0,0,0,0,0
9,0,356,32,21,40,58,92,55,58
0,11,404,13,12,105,77,142,27,28
8,2,1,1,0,0,0,0,0,0
2,24,1,1,0,0,0,0,0,0
23,24,4,4,0,0,0,0,0,0
4,24,7,6,0,0,1,0,0,0
3,4,4,2,0,0,2,0,0,0
3,7,2,2,0,0,0,0,0,0
3,24,88,13,4,9,15,27,16,4
0,24,75,15,6,8,23,6,8,9
10,4,18,1,1,0,2,0,14,0
10,26,2,1,0,0,0,1,0,0
0,12,126,10,21,20,14,32,17,12
9,24,39,11,1,5,5,5,12,0
9,3,52,9,1,8,12,13,6,3
23,1,5,2,0,0,0,1,1,1
10,24,7,1,1,4,1,0,0,0
28,0,10,4,0,0,0,0,0,6
3,29,3,1,0,0,2,0,0,0
29,4,2,2,0,0,0,0,0,0
3,1,10,3,2,0,1,0,1,3
0,33,25,25,0,0,0,0,0,0
33,24,1,1,0,0,0,0,0,0
28,3,4,4,0,0,0,0,0,0
34,0,41,2,0,0,0,0,0,39
34,24,1,1,0,0,0,0,0,0
3,35,2,1,0,0,0,0,1,0
35,11,1,1,0,0,0,0,0,0
37,36,11,6,0,1,1,2,1,0
0,37,9,2,1,0,1,3,2,0
3,37,5,4,0,0,0,1,0,0
36,1,6,1,1,0,0,0,3,1
38,4,2,2,0,0,0,0,0,0
38,24,1,1,0,0,0,0,0,0
0,38,23,5,0,0,6,0,0,12
9,38,1,1,0,0,0,0,0,0
3,38,5,3,0,0,2,0,0,0
9,33,2,2,0,0,0,0,0,0
40,41,3,1,1,1,0,0,0,0
42,43,241,6,20,24,52,96,23,20
42,0,126,7,13,17,28,36,14,11
8,0,59,2,6,9,10,14,5,13
41,44,41,4,12,10,2,9,0,4
9,40,19,1,4,0,1,3,9,1
0,27,14,2,1,0,3,0,4,4
0,44,1675,134,193,239,286,315,204,304
42,47,17,5,4,4,2,2,0,0
42,44,82,6,7,0,12,33,20,4
22,48,20,2,1,0,15,0,0,2
48,41,4,2,0,0,2,0,0,0
42,41,18,2,3,2,3,3,0,5
43,41,15,4,3,0,5,1,0,2
23,41,7,1,1,0,1,4,0,0
3,44,100,16,11,24,17,18,7,7
44,1,31,4,3,1,4,2,3,14
10,44,81,6,5,5,18,15,16,16
10,5,1,1,0,0,0,0,0,0
9,44,148,15,18,14,24,27,27,23
43,44,52,1,6,5,13,12,10,5
0,51,1517,74,74,258,232,370,192,317
23,9,5,1,0,1,1,1,1,0
9,52,2,1,1,0,0,0,0,0
1,18,11,2,0,2,0,4,2,1
28,44,8,4,2,0,0,0,0,2
9,29,5,1,0,0,1,2,0,1
9,28,1,1,0,0,0,0,0,0
51,45,40,7,0,5,3,19,2,4
53,54,75,7,14,16,8,13,13,4
54,55,82,14,3,16,18,12,5,14
55,49,3,2,0,1,0,0,0,0
49,44,54,1,0,41,1,0,0,11
0,49,53,4,0,29,10,4,0,6
0,55,284,12,49,44,31,48,66,34
44,11,91,7,0,32,20,22,3,7
3,45,2,1,0,0,0,1,0,0
0,36,44,6,15,4,6,4,8,1
0,56,227,3,14,29,44,73,32,32
52,44,2,1,0,0,1,0,0,0
12,36,4,1,1,1,0,1,0,0
45,44,32,4,1,0,10,13,1,3
0,41,59,4,10,15,12,14,1,3
12,33,2,2,0,0,0,0,0,0
