Source,Target,Weight,edges_1,edges_2,edges_3,edges_4,edges_5,edges_6,edges_7
48,28,4,4,0,0,0,0,0,0
48,29,5,5,0,0,0,0,0,0
22,9,24,5,0,0,2,0,14,3
23,28,1,1,0,0,0,0,0,0
28,1,9,2,0,0,0,0,0,7
0,45,606,90,43,65,70,209,67,62
53,54,43,2,12,8,1,3,15,2
53,0,227,17,39,44,21,43,27,36
54,55,127,13,13,27,18,18,20,18
0,55,1212,109,191,173,98,186,334,121
53,55,155,4,24,37,19,22,19,30
55,44,427,61,69,93,75,24,67,38
9,55,180,19,27,17,20,27,58,12
54,44,100,11,27,25,18,9,0,10
54,49,5,5,0,0,0,0,0,0
55,49,10,2,0,8,0,0,0,0
51,49,67,5,0,47,7,3,0,5
23,44,87,3,10,19,9,25,15,6
55,1,77,2,16,0,1,0,29,29
3,45,28,16,2,5,0,5,0,0
28,4,5,2,1,0,0,0,2,0
28,12,1,1,0,0,0,0,0,0
45,44,196,38,12,36,17,67,15,11
12,44,190,10,36,59,29,25,25,6
42,12,17,3,0,0,3,7,0,4
12,4,6,4,0,0,0,0,0,2
37,12,3,1,0,0,0,0,2,0
37,52,26,2,1,5,5,10,3,0
52,36,26,4,0,8,7,5,0,2
9,36,19,3,7,0,0,2,4,3
0,37,70,6,14,5,14,16,6,9
0,52,93,4,2,27,15,12,4,29
52,44,23,2,0,3,5,11,0,2
12,45,16,1,1,1,3,5,5,0
41,36,12,1,10,0,0,0,1,0
36,56,18,2,1,0,0,15,0,0
0,41,271,29,61,54,56,43,7,21
0,56,1074,17,76,104,228,382,141,126
10,33,15,14,0,0,0,0,0,1
52,11,6,3,0,0,1,2,0,0
57,44,14,1,7,0,5,0,1,0
44,58,84,10,2,17,14,29,10,2
36,59,44,12,8,7,0,8,0,9
0,59,118,12,10,20,27,32,11,6
55,58,5,4,1,0,0,0,0,0
57,58,3,1,0,0,2,0,0,0
33,11,3,1,0,0,0,2,0,0
33,60,29,27,0,0,0,0,2,0
0,60,1737,139,125,246,284,362,402,179
10,56,88,2,19,4,4,28,14,17
45,41,2,1,0,1,0,0,0,0
0,49,280,6,3,136,92,12,0,31
33,36,1,1,0,0,0,0,0,0
55,36,97,10,24,32,17,10,4,0
55,60,187,11,15,29,20,35,56,21
61,33,1,1,0,0,0,0,0,0
0,61,60,13,15,4,13,11,3,1
63,64,1,1,0,0,0,0,0,0
51,12,110,8,18,24,20,15,19,6
51,33,11,6,0,0,0,5,0,0
58,60,10,1,1,4,0,1,3,0
33,58,3,3,0,0,0,0,0,0
33,56,3,3,0,0,0,0,0,0
39,44,84,3,22,10,33,16,0,0
64,60,38,15,8,0,5,0,6,4
53,60,13,7,0,0,0,0,6,0
64,54,4,4,0,0,0,0,0,0
53,11,7,3,2,0,2,0,0,0
53,3,28,12,0,11,5,0,0,0
44,60,354,57,52,46,84,31,63,21
54,0,182,14,30,19,22,49,17,31
60,4,10,5,0,0,0,5,0,0
51,4,40,7,7,6,3,16,1,0
51,60,315,43,26,76,36,36,75,23
9,51,606,28,25,70,103,179,97,104
9,58,14,11,0,1,0,2,0,0
9,60,175,15,5,41,25,26,44,19
11,60,316,1,6,72,71,100,29,37
55,11,48,1,4,11,4,6,12,10
55,45,99,39,7,12,3,29,9,0
45,60,69,9,5,25,8,10,3,9
45,58,37,5,8,1,1,17,3,2
42,60,27,3,3,0,0,21,0,0
43,60,11,4,0,0,0,6,0,1
3,60,98,16,8,0,17,4,49,4
42,3,19,3,2,0,3,3,0,8
8,65,24,2,5,0,0,15,2,0
8,44,125,8,12,29,27,22,10,17
44,56,402,21,47,41,86,123,37,47
65,0,91,16,33,7,11,4,13,7
65,3,84,9,20,7,15,14,15,4
60,24,17,8,0,0,0,0,9,0
48,44,42,23,0,0,14,1,3,1
