Source,Target,Weight,edges_1,edges_2,edges_3,edges_4,edges_5,edges_6,edges_7
0,1,1323,27,186,69,237,191,200,413
2,3,11,10,0,0,0,0,0,1
2,0,316,108,27,29,37,73,2,40
0,4,680,133,99,96,132,141,26,53
5,6,1,1,0,0,0,0,0,0
5,0,21,21,0,0,0,0,0,0
7,4,338,81,41,33,46,88,22,27
2,4,224,95,12,13,39,40,6,19
8,4,7,6,0,0,0,1,0,0
4,1,12,3,0,2,3,2,2,0
9,4,61,7,0,0,4,8,36,6
9,10,117,17,18,6,20,32,24,0
9,1,389,16,22,12,40,75,174,50
10,1,14,9,0,0,0,2,0,3
11,10,18,1,4,1,1,5,6,0
9,11,27,5,8,8,6,0,0,0
12,1,7,1,0,0,0,0,0,6
13,1,17,2,0,7,0,0,2,6
14,1,14,3,0,5,3,0,0,3
12,10,4,4,0,0,0,0,0,0
12,13,9,5,0,0,0,0,0,4
9,13,12,5,0,2,0,0,0,5
0,10,452,61,95,55,42,128,40,31
9,0,2287,89,116,103,417,410,766,386
9,3,207,45,31,21,59,24,27,0
3,10,28,8,0,4,6,1,8,1
3,0,1446,264,100,177,236,297,205,167
9,15,148,1,0,17,33,72,14,11
9,7,31,5,0,0,3,0,20,3
3,14,10,8,0,0,0,0,0,2
3,15,22,2,0,4,2,10,0,4
8,10,9,7,1,0,0,1,0,0
0,7,340,64,53,51,66,55,21,30
2,7,117,27,16,5,22,22,3,22
2,16,10,1,0,8,0,1,0,0
17,0,32,7,0,0,0,25,0,0
17,7,17,13,0,0,0,4,0,0
2,17,6,3,0,0,0,3,0,0
17,4,7,1,0,0,2,4,0,0
2,18,3,3,0,0,0,0,0,0
16,4,53,8,0,45,0,0,0,0
19,4,8,5,0,0,3,0,0,0
19,0,168,4,0,0,53,13,24,74
0,16,42,3,0,39,0,0,0,0
8,2,2,1,0,0,0,1,0,0
3,4,33,28,0,0,5,0,0,0
9,20,2,1,0,0,0,1,0,0
3,7,18,13,0,0,4,0,0,1
8,3,34,4,4,1,1,21,2,1
3,13,4,4,0,0,0,0,0,0
22,3,8,2,6,0,0,0,0,0
22,9,21,1,4,0,6,10,0,0
3,1,55,10,15,4,4,3,4,15
24,0,15,1,0,0,0,0,0,14
0,25,95,87,0,0,0,6,2,0
3,25,9,9,0,0,0,0,0,0
26,3,5,5,0,0,0,0,0,0
26,0,110,4,0,0,0,0,0,106
2,27,2,2,0,0,0,0,0,0
0,27,8,1,0,0,0,0,7,0
3,28,18,17,0,0,1,0,0,0
0,28,86,21,0,0,18,0,0,47
28,1,19,2,0,0,0,0,1,16
0,29,194,10,12,38,66,43,10,15
29,7,4,4,0,0,0,0,0,0
29,4,10,1,4,5,0,0,0,0
30,31,31,1,20,4,0,2,4,0
30,0,492,4,71,15,13,167,158,64
32,33,306,9,32,32,68,126,18,21
0,34,4786,363,565,585,753,929,718,873
36,35,1,1,0,0,0,0,0,0
32,0,525,32,75,56,87,194,37,44
8,0,239,13,26,28,38,67,45,22
31,34,109,2,26,38,12,23,1,7
32,30,61,1,8,1,2,28,15,6
33,30,29,1,9,1,3,6,1,8
0,21,83,3,1,1,23,5,27,23
32,34,282,4,12,33,76,115,28,14
33,34,166,5,10,6,41,72,16,16
33,0,395,18,63,46,95,111,21,41
19,37,23,4,5,0,13,1,0,0
19,31,42,5,6,0,27,4,0,0
19,32,57,4,9,0,23,3,2,16
19,33,21,5,2,0,7,1,0,6
19,34,72,4,0,2,21,1,11,33
31,38,4,3,0,1,0,0,0,0
2,34,14,1,4,0,1,6,0,2
9,34,285,25,22,12,33,73,58,62
9,39,37,2,0,0,0,0,0,35
5,39,1,1,0,0,0,0,0,0
9,5,10,7,0,0,0,0,0,3
8,33,12,2,0,4,0,2,0,4
38,34,182,12,1,144,2,0,0,23
0,40,3742,225,205,502,599,853,534,824
40,34,2390,126,212,333,415,406,388,510
9,35,19,3,0,0,11,3,0,2
34,1,187,16,15,5,23,43,14,71
38,1,56,2,0,11,38,1,1,3
37,0,46,7,0,0,33,2,2,2
37,34,36,23,0,0,6,1,2,4
0,35,498,75,32,51,50,190,51,49
40,35,146,30,4,13,14,70,3,12
41,42,39,2,11,7,3,4,10,2
41,0,200,17,41,37,21,35,20,29
0,43,1104,89,172,160,90,165,302,126
3,34,384,60,42,66,78,73,38,27
43,34,407,50,75,69,84,28,61,40
41,43,123,3,9,31,17,13,19,31
42,43,129,7,15,21,37,16,11,22
42,38,8,8,0,0,0,0,0,0
43,38,4,2,0,2,0,0,0,0
43,1,57,1,11,0,2,3,17,23
3,35,17,7,0,1,1,2,0,6
35,34,133,23,9,24,14,45,8,10
10,34,142,16,17,50,20,18,21,0
31,44,41,1,11,4,9,7,8,1
0,31,235,25,42,43,57,39,9,20
9,25,12,9,0,0,0,0,0,3
45,34,18,1,7,0,6,3,1,0
45,46,2,2,0,0,0,0,0,0
25,47,25,24,0,0,0,0,0,1
9,44,80,2,19,2,9,29,5,14
9,31,37,2,0,15,10,10,0,0
43,47,148,13,9,16,18,26,45,21
48,25,1,1,0,0,0,0,0,0
40,10,113,8,14,40,15,12,19,5
40,25,7,4,0,0,0,1,2,0
25,46,3,3,0,0,0,0,0,0
25,44,2,2,0,0,0,0,0,0
0,44,892,14,52,87,201,324,110,104
29,34,55,5,13,9,15,13,0,0
3,29,15,2,0,1,6,3,0,3
0,47,1482,133,93,194,235,325,342,160
51,47,31,12,4,0,8,0,1,6
41,51,2,2,0,0,0,0,0,0
51,42,3,3,0,0,0,0,0,0
41,3,19,6,0,7,6,0,0,0
3,47,82,22,1,0,14,4,37,4
40,47,255,37,14,70,21,37,67,9
42,0,162,12,28,27,27,35,16,17
47,4,8,5,0,2,0,1,0,0
40,4,30,7,2,4,5,12,0,0
0,46,160,20,7,19,13,76,17,8
43,35,74,29,8,0,3,27,4,3
35,46,34,6,6,3,1,11,3,4
35,47,50,6,5,15,7,11,3,3
34,47,282,42,50,36,45,27,66,16
32,47,12,1,0,0,0,11,0,0
33,47,16,3,0,0,0,9,0,4
8,52,3,2,0,0,0,0,1,0
34,44,310,13,43,31,52,84,32,55
52,0,62,12,28,2,5,2,8,5
52,3,81,10,11,7,12,28,9,4
0,48,44,13,11,2,11,7,0,0
52,34,33,3,19,0,1,2,2,6
34,46,68,3,2,11,8,32,9,3
37,53,2,2,0,0,0,0,0,0
54,0,94,6,3,0,13,18,32,22
3,40,445,52,24,110,73,126,46,14
43,10,19,3,3,1,2,2,8,0
41,34,140,19,37,33,24,9,10,8
0,55,27,7,4,12,0,4,0,0
55,35,5,5,0,0,0,0,0,0
55,43,2,1,0,0,0,1,0,0
43,56,25,2,0,0,0,1,22,0
10,4,5,2,0,2,0,0,0,1
51,3,8,4,0,0,4,0,0,0
10,18,14,9,1,4,0,0,0,0
51,18,14,14,0,0,0,0,0,0
51,0,83,13,7,10,7,27,8,11
51,10,18,1,2,5,0,1,0,9
10,47,70,6,17,4,6,5,11,21
0,18,169,31,31,68,9,12,6,12
33,18,30,10,9,11,0,0,0,0
32,18,24,4,2,16,0,0,0,2
37,32,19,1,0,0,11,1,6,0
32,43,39,2,9,3,0,22,3,0
41,32,3,3,0,0,0,0,0,0
32,42,5,4,0,0,1,0,0,0
42,34,96,14,24,25,12,11,0,10
43,48,5,4,1,0,0,0,0,0
11,35,5,3,0,0,0,0,2,0
35,25,1,1,0,0,0,0,0,0
25,34,6,5,0,0,0,0,1,0
41,48,2,2,0,0,0,0,0,0
8,35,10,3,0,5,0,1,1,0
40,43,270,16,20,32,54,38,67,43
43,44,98,2,30,12,26,17,11,0
51,43,6,5,1,0,0,0,0,0
51,35,9,4,0,0,5,0,0,0
40,46,33,3,5,3,7,12,2,1
51,40,31,5,1,10,12,3,0,0
51,34,26,5,2,6,4,7,2,0
0,57,10,4,0,0,0,6,0,0
8,31,2,1,0,0,0,0,0,1
8,34,87,2,9,23,12,23,14,4
31,47,15,4,5,3,3,0,0,0
10,25,5,5,0,0,0,0,0,0
9,40,276,15,5,41,38,55,38,84
54,34,53,2,5,0,2,14,16,14
0,38,243,4,3,118,71,8,0,39
40,38,56,3,0,50,3,0,0,0
36,44,6,2,1,1,0,2,0,0
10,44,29,2,5,0,6,5,11,0
32,58,2,2,0,0,0,0,0,0
0,36,74,2,3,5,23,23,1,17
54,53,7,3,0,1,2,0,0,1
54,3,7,1,0,0,2,4,0,0
3,36,6,3,0,0,0,3,0,0
