Id,Label,All_uses,Uses_1,Uses_2,Uses_3,Uses_4,Uses_5,Uses_6,Uses_7
133,Karkaroff,137,0,0,0,135,0,1,1
134,Viktor,15,0,0,0,11,1,0,3
135,Fleur,219,0,0,0,89,1,43,86
136,Gregorovitch,38,0,0,0,1,0,0,37
137,Padma,13,0,0,0,13,0,0,0
138,Roger Davies,15,0,0,0,5,9,0,1
139,Aberforth,61,0,0,0,2,1,0,58
140,Gabrielle,10,0,0,0,3,0,1,6
141,Dolohov,25,0,0,0,1,10,0,14
142,Umbridge,595,0,0,0,0,542,11,42
143,Luna,293,0,0,0,0,126,47,120
144,Lovegood,33,0,0,0,0,4,0,29
145,Grawp,63,0,0,0,0,43,9,11
146,Tonks,200,0,0,0,0,91,54,55
147,Kingsley,79,0,0,0,0,36,2,41
148,Elphias,11,0,0,0,0,1,0,10
149,Sturgis,12,0,0,0,0,12,0,0
150,Kreacher,278,0,0,0,0,102,51,125
151,Phineas,76,0,0,0,0,34,8,34
152,Bellatrix,173,0,0,0,0,42,41,90
153,Scrimgeour,130,0,0,0,0,1,66,63
154,Madam Bones,9,0,0,0,0,9,0,0
155,Zacharias Smith,23,0,0,0,0,15,7,1
156,Zacharias,10,0,0,0,0,7,3,0
157,Smith,13,0,0,0,0,6,6,1
158,Marietta,35,0,0,0,0,33,2,0
159,Karkus,11,0,0,0,0,11,0,0
160,Magorian,16,0,0,0,0,15,0,1
161,Marchbanks,13,0,0,0,0,13,0,0
162,Tofty,12,0,0,0,0,12,0,0
163,Bella,14,0,0,0,0,2,9,3
164,Narcissa,52,0,0,0,0,2,36,14
165,Rufus Scrimgeour,12,0,0,0,0,0,11,1
166,Inferi,18,0,0,0,0,0,17,1
167,Horace,15,0,0,0,0,0,14,1
168,Slughorn,381,0,0,0,0,0,372,9
169,Greyback,81,0,0,0,0,0,21,60
170,Zabini,38,0,0,0,0,0,38,0
171,Cormac,65,0,0,0,0,0,65,0
172,Morfin,57,0,0,0,0,0,57,0
173,Romilda Vane,11,0,0,0,0,0,11,0
174,Leanne,17,0,0,0,0,0,17,0
175,Cole,21,0,0,0,0,0,21,0
176,Coote,9,0,0,0,0,0,9,0
177,Auntie Muriel,15,0,0,0,0,0,1,14
178,Harper,11,0,0,0,0,0,11,0
179,Celestina,7,0,0,0,0,0,7,0
180,Burke,10,0,0,0,0,0,9,1
181,Amycus,18,0,0,0,0,0,6,12
182,Muriel,34,0,0,0,0,0,1,33
183,Xenophilius,78,0,0,0,0,0,0,78
184,Yaxley,44,0,0,0,0,0,0,44
185,Kendra,17,0,0,0,0,0,0,17
186,Ariana,38,0,0,0,0,0,0,38
187,Doge,37,0,0,0,0,0,0,37
188,Ted,23,0,0,0,0,0,0,23
189,Madame Delacour,7,0,0,0,0,0,0,7
190,Monsieur Delacour,8,0,0,0,0,0,0,8
191,Deluminator,22,0,0,0,0,0,0,22
192,Beedle,17,0,0,0,0,0,0,17
193,Mafalda,8,0,0,0,0,0,0,8
194,Cattermole,33,0,0,0,0,0,0,33
195,Dirk,12,0,0,0,0,0,0,12
196,Scabior,15,0,0,0,0,0,0,15
197,Bogrod,14,0,0,0,0,0,0,14
