Source,Target,Weight,edges_1,edges_2,edges_3,edges_4,edges_5,edges_6,edges_7
0,1,974,32,146,69,165,139,137,286
2,3,6,5,0,0,0,0,0,1
2,0,243,83,20,19,27,59,4,31
5,6,1,1,0,0,0,0,0,0
5,0,9,9,0,0,0,0,0,0
7,4,280,66,36,30,47,69,14,18
2,4,162,59,16,10,33,37,3,4
2,7,104,23,9,6,16,31,4,15
0,4,548,117,65,81,101,120,26,38
8,4,4,3,0,0,0,1,0,0
9,1,74,3,4,6,11,14,19,17
10,4,42,5,0,0,4,7,22,4
10,12,96,20,19,6,17,19,11,4
12,1,8,1,0,1,0,3,0,3
10,1,301,9,14,11,33,58,134,42
13,12,18,1,6,2,1,3,5,0
10,13,20,3,8,8,1,0,0,0
14,1,7,1,0,0,0,0,0,6
15,1,15,2,0,7,0,0,1,5
14,16,2,2,0,0,0,0,0,0
10,14,29,3,2,0,0,1,0,23
15,12,3,3,0,0,0,0,0,0
10,0,1748,66,95,74,343,306,570,294
0,12,339,42,51,41,43,102,35,25
10,3,158,32,24,6,43,21,31,1
9,12,23,3,2,2,3,10,3,0
9,0,1091,66,84,116,153,274,192,206
3,0,1036,185,81,123,182,208,143,114
10,11,199,5,2,25,34,77,41,15
10,7,28,3,0,0,3,0,18,4
3,12,27,11,0,5,5,0,6,0
0,17,75,1,0,9,0,41,4,20
3,18,50,10,0,2,17,16,5,0
11,18,31,2,0,9,8,12,0,0
3,11,71,10,7,18,11,16,7,2
8,12,9,5,1,0,0,3,0,0
0,7,251,46,32,39,51,44,15,24
2,11,2,2,0,0,0,0,0,0
20,0,24,5,0,0,0,19,0,0
9,4,34,9,1,0,0,13,0,11
9,7,12,4,4,0,0,3,0,1
9,2,24,6,1,0,0,5,0,12
2,20,4,1,0,0,0,3,0,0
20,4,10,1,0,0,2,7,0,0
20,7,11,9,0,0,0,2,0,0
2,21,3,3,0,0,0,0,0,0
19,4,33,6,0,27,0,0,0,0
22,19,1,1,0,0,0,0,0,0
22,0,127,3,0,0,42,6,18,58
22,4,1,1,0,0,0,0,0,0
22,7,2,2,0,0,0,0,0,0
23,19,2,2,0,0,0,0,0,0
2,19,12,3,0,8,0,1,0,0
0,19,42,4,0,38,0,0,0,0
11,4,42,4,1,7,15,2,12,1
8,2,2,1,0,0,0,1,0,0
2,24,2,2,0,0,0,0,0,0
23,24,9,6,0,0,3,0,0,0
4,24,29,28,0,0,1,0,0,0
0,11,1128,25,46,267,246,400,63,81
3,24,280,65,11,39,48,74,28,15
0,24,276,55,18,42,63,46,38,14
3,4,28,23,0,0,5,0,0,0
23,3,25,3,3,6,5,1,5,2
23,0,114,6,5,20,7,41,16,19
