Source,Target,Weight,edges_1,edges_2,edges_3,edges_4,edges_5,edges_6,edges_7
0,1,663,19,101,41,119,104,95,184
2,3,2,2,0,0,0,0,0,0
2,0,183,54,21,17,19,47,2,23
5,6,1,1,0,0,0,0,0,0
7,4,267,68,35,28,37,64,16,19
2,4,109,43,12,9,14,18,5,8
0,4,382,74,44,46,68,80,27,43
8,4,3,2,0,0,0,1,0,0
9,10,71,19,11,5,7,17,8,4
10,1,2,1,0,1,0,0,0,0
9,1,194,6,10,4,22,38,76,38
11,10,11,1,8,1,1,0,0,0
12,1,5,1,0,0,0,0,0,4
14,13,20,1,0,7,0,4,0,8
9,13,2,2,0,0,0,0,0,0
13,10,4,3,0,0,0,0,0,1
9,0,1179,49,58,55,239,194,394,190
0,10,225,22,37,33,28,65,25,15
3,0,729,143,51,100,124,136,92,83
9,3,125,13,29,6,32,18,27,0
9,4,33,4,0,0,2,5,19,3
9,7,14,3,0,0,0,0,8,3
3,10,21,11,0,2,4,0,4,0
0,14,43,1,0,7,0,20,3,12
3,15,14,1,0,0,4,8,0,1
8,9,8,1,1,3,1,0,2,0
2,7,73,20,3,2,17,19,1,11
0,7,188,34,29,30,35,27,13,20
17,0,20,5,0,0,0,15,0,0
17,4,5,1,0,0,0,4,0,0
2,18,1,1,0,0,0,0,0,0
17,7,3,3,0,0,0,0,0,0
2,17,7,3,0,0,0,4,0,0
16,4,27,4,0,23,0,0,0,0
19,0,70,1,0,1,25,4,11,28
19,4,2,2,0,0,0,0,0,0
19,16,1,1,0,0,0,0,0,0
16,7,10,1,0,9,0,0,0,0
2,16,5,2,0,2,0,1,0,0
8,2,1,1,0,0,0,0,0,0
3,4,14,11,0,0,2,0,0,1
9,20,2,1,0,0,0,1,0,0
3,7,5,4,0,0,0,0,0,1
8,3,21,4,2,1,3,8,2,1
13,4,3,3,0,0,0,0,0,0
8,14,2,2,0,0,0,0,0,0
0,13,33,2,0,4,0,1,5,21
3,1,30,6,4,2,5,0,5,8
24,0,8,2,0,0,0,0,0,6
0,25,53,51,0,0,0,2,0,0
26,0,57,4,0,0,0,0,0,53
3,27,4,1,0,0,0,0,3,0
0,27,2,1,0,0,0,0,1,0
28,4,5,5,0,0,0,0,0,0
0,28,41,11,0,0,7,0,0,23
3,28,5,4,0,0,1,0,0,0
29,7,1,1,0,0,0,0,0,0
30,31,15,1,2,2,5,0,3,2
32,33,264,11,26,23,69,94,20,21
32,0,263,14,38,34,59,72,20,26
8,0,140,7,20,25,18,32,19,19
31,34,81,4,27,18,12,12,0,8
33,0,207,16,31,25,53,51,4,27
0,21,28,1,1,1,15,0,7,3
0,34,2701,201,334,340,422,507,390,507
32,34,146,9,16,17,33,47,21,3
33,34,96,4,11,2,24,36,11,8
19,37,29,5,4,0,16,1,0,3
37,31,6,1,0,0,4,1,0,0
37,32,10,3,0,0,7,0,0,0
37,33,4,3,0,0,1,0,0,0
19,31,20,2,2,0,15,1,0,0
19,34,30,4,0,1,9,2,4,10
31,38,4,1,0,3,0,0,0,0
2,34,2,1,1,0,0,0,0,0
3,34,217,35,24,44,42,43,19,10
34,1,74,7,4,0,6,18,7,32
9,34,201,13,18,8,43,43,32,44
9,39,25,2,0,0,0,0,0,23
